filename,title,@creator,location,exact_spot,intimacy_level,date_stamp,daytime_icon,rawness_percent,BLIP_description,artistic_description,keywords,keyword_confidences,vibe,context
image234,Double U Logo,@diamond_dust,"Chefchaouen, Morocco",abandoned warehouse,17,Midsummer night,🍝,0.85,-,the double u logo and a red line on a white,line; logo; circuit; lcd; card; circuits; stationery; periodic; cartridge; macromedia,0.727; 0.7127; 0.283; 0.2797; 0.2751; 0.2744; 0.2667; 0.2664; 0.2655; 0.265,warm,-
image235,White and Blue Striped Towel,@celestial_harmony,"Siwa Oasis, Egypt",on the rooftop,37,Day after graduation,🍷,0.76,-,a white and blue striped towel hanging on a wall,towel; wall; quilt; sheets; cloth; textile; bedding; sheet; fabrics,0.7583; 0.7508; 0.2868; 0.2722; 0.2712; 0.2695; 0.2689; 0.2688; 0.2607,melancholic,-
image236,T‑Shirt,@deep_thoughts,"Haifa, Israel",in bed at midnight,38,Middle of summer,🍝,0.66,-,a t - shirt with the words carhartt work in progress on it,shirt; work; progress; sustainability; cashiers; recycling; nonprofit; workforce; ira; cargo; organisations,0.747; 0.7359; 0.7339; 0.2689; 0.2684; 0.2679; 0.2657; 0.2645; 0.2637; 0.2631; 0.2608,serene,-
image237,Glass Desk with Two Stools,@cosmic_dance,"Tiberias, Israel",during traffic in my car,10,21/09/99,☕,0.64,-,a glass desk with two stools and a lamp,stools; glass; lamp; table; desk,0.7552; 0.7478; 0.7362; 0.3063; 0.3046,mysterious,-
image238,Logo R,@peridot_leaf,"Venice, Italy",by the fireplace,13,Day after graduation,🌙,0.69,-,the logo for r & d fete de la musique,musique; fete; logo; brochure; flyer; prix; poster; programme; lecture; rrp; program,0.78; 0.751; 0.73; 0.2721; 0.27; 0.2605; 0.2595; 0.2575; 0.2529; 0.2514; 0.2479,neutral,-
image24,Colorful Crayfish with Green,@garnet_sun,"Chefchaouen, Morocco",mountain lookout,19,21/09/99,-,0.82,-,a colorful crayfish on a green,crayfish; insects; bee; ant; bugs; organisms; card; verzeichnis; biological,0.7927; 0.2955; 0.2802; 0.2716; 0.2705; 0.2703; 0.2691; 0.2682; 0.2671,whimsical,-
image240,Woman Sitting at Table,@coral_reef,-,hotel balcony,28,The hottest day of the year,🍝,0.53,-,a woman sitting at a table surrounded by sunflowers,sunflowers; table; florist; perfume; florists; clothing; variance; fabric; clothes; boutique,0.7803; 0.7177; 0.2621; 0.2556; 0.2549; 0.2533; 0.2528; 0.2514; 0.2511; 0.2502,neutral,-
image241,Black and White Logo,@overhead_light,"Jaffa, Israel",beach,3,First snow of 2012,🌙,0.96,-,a black and white logo with the letters gs,letters; logo; usr; src; sig; asn; scsi; res; rss; sys,0.7419; 0.7405; 0.2836; 0.2714; 0.268; 0.2664; 0.2664; 0.2658; 0.2657; 0.2651,neutral,-
image242,Beyond This Point,@emerald_city,"Goa, India",beach,3,New Year's Eve 2010,🍝,0.86,-,the word 'beyond this point' in black and white,point; word; boundary; points; yield; tend; rebound; bound; pointed; beyond,0.7546; 0.7193; 0.2706; 0.2699; 0.268; 0.2672; 0.2656; 0.2653; 0.2652; 0.2645,neutral,-
image243,Process of Making by Hand,@blue_moon,"Safed, Israel",by the fireplace,13,31/12/07,☕,0.86,-,the process of making a hand dyed wool sweater,process; hand; sweater; wool; fur; yarn; cotton; fiber; thread; textile; fabric,0.7455; 0.7063; 0.703; 0.28; 0.2669; 0.2668; 0.2641; 0.2603; 0.2558; 0.2541; 0.2534,mysterious,-
image244,Bear Turning Its Head,-,"Rosh Hanikra, Israel",toilet,2,My last day at work,☀️,0.82,-,a of a bear with its head in the air,head; air; lion; bears; bear; lions; scanned; pig; rat; beaver,0.7409; 0.7299; 0.2794; 0.2774; 0.2774; 0.2725; 0.2705; 0.2701; 0.2694; 0.2676,mysterious,-
image245,Black and White Man Lying,@pink_flamingo,"Acre, Israel",seashore rocks,27,The festival weekend,🍝,-,-,a black and white of a man laying on the grass with red flowers in the,grass; flowers; beatles; recreation; lawn; influences; lolita; grounds; remembered; similar,0.7276; 0.7184; 0.2668; 0.2538; 0.2521; 0.2446; 0.2435; 0.2427; 0.2407; 0.2403,neutral,-
image247,Spider with Woman on Ground,@gentle_breeze,"Tel Aviv, Israel",backstage dressing room,25,04/07/11,☕,0.74,-,a of a spider and a woman on the ground,spider; ground; anatomy; erotic; bondage; masturbation; mechanics,0.7511; 0.7289; 0.2675; 0.2671; 0.2663; 0.2659; 0.2654,mysterious,-
image248,Hand Reaching Out,@zircon_spark,"Prague, Czech Republic",empty classroom,32,Early spring 2005,🌙,0.96,-,a hand reaching out to the viewer,viewer; hands; hand; detail; fingers; process; acrylic; gloves; reaching,0.7134; 0.2589; 0.2539; 0.2535; 0.2503; 0.2475; 0.2465; 0.2459; 0.2445,mysterious,-
image249,Different Types of Letters,@stellar_wind,"New Orleans, USA",airport lounge,36,First snow of 2012,🍝,0.58,Got inspired by a random playlist shuffle at midnight,the different types of letters and numbers,letters; types; numbers; ascii; plan; brochure; designing; module; minimum; component; manuals,0.733; 0.7234; 0.7193; 0.2845; 0.2684; 0.2658; 0.2652; 0.2629; 0.2621; 0.2592; 0.2584,serene,Got inspired by a random playlist shuffle at midnight
image25,"Man, Woman, and Child",@deep_thoughts,"Venice, Italy",mountain lookout,19,Just before sunrise,☀️,0.97,-,"a of a man, woman, and child on a of",child; roommates; memo; algebra; notes; epinions; poem; note,0.7323; 0.2719; 0.2709; 0.2692; 0.2686; 0.2673; 0.2657; 0.2653,neutral,-
image250,Two Spheres,@fantasy_realm,"Dead Sea, Israel",during traffic in my car,10,Winter break,☕,0.82,-,two spheres that are connected by lines,spheres; lines; interfaces; web; partnerships; networks; cyber; spatial; sphere; structures,0.7612; 0.7103; 0.2566; 0.2562; 0.2483; 0.2459; 0.2455; 0.2454; 0.2448; 0.2447,serene,-
image251,Gothic Arch Shape,@crystal_echo,"Rosh Hanikra, Israel",market square,21,Third week of lockdown,🌙,0.83,-,a gothic arch in the shape of a frame,arch; frame; shape; panel; panels; door; handmade; portal; angeles; allah; bat,0.7479; 0.7474; 0.7349; 0.2665; 0.2656; 0.2642; 0.2628; 0.2619; 0.26; 0.2592; 0.2591,serene,-
image252,Group with Metal Scaffolding,@velvet_storm,"Jaffa, Israel",riverbank,20,The hottest day of the year,☕,0.91,-,a group of metal scaffolding,scaffolding; metal; group; framework; handles; modular; cubic; structural; modules; plumbing; structure,0.7788; 0.7321; 0.7012; 0.2701; 0.2593; 0.2564; 0.2562; 0.2534; 0.253; 0.2519; 0.2516,neutral,-
image253,Green and Black Sleeping Bag,@coral_reef,"Prague, Czech Republic",riverbank,20,The week before moving out,🍷,0.75,-,a green and black sleeping bag on the floor,bag; floor; sleeping; tent; mattress; cape; patrol; blanket; grave; quilt; rug,0.7537; 0.7526; 0.7326; 0.2892; 0.2715; 0.2688; 0.2623; 0.2611; 0.2607; 0.2592; 0.259,dark,-
image254,Flower on Beach with Person Lying,@nomadic_heart,"Barcelona, Spain",beach,3,Just before sunrise,-,0.76,-,"a flower, a beach, and a person laying on the ground",flower; ground; person; beach; albums; vessels; seasons; album; varied; influences; bloom; publications,0.7314; 0.7015; 0.692; 0.6911; 0.2713; 0.2635; 0.2589; 0.2574; 0.2572; 0.2569; 0.2558; 0.2546,serene,-
image255,Process of Making Felted,@sublime_vision,"Folegandros, Greece",on the rooftop,37,Halloween night,☕,0.84,-,the process of making a felted candle holder,holder; process; candle; geological; birth; gourmet; geology; ent; cake; chef,0.7291; 0.7237; 0.2688; 0.2684; 0.2666; 0.2663; 0.2655; 0.2643; 0.2622; 0.2608,mysterious,-
image256,Spiral Pattern on Side,-,"Lamu, Kenya",empty classroom,32,Before the big storm,☀️,0.63,-,a spiral pattern on the side of a rock,rock; pattern; side; debian; fossil; geology; aboriginal; geological; usgs; namibia; tile,0.7408; 0.7399; 0.6931; 0.2646; 0.2646; 0.2575; 0.2559; 0.2548; 0.2514; 0.2514; 0.2502,serene,-
image257,Different Types of Crabs,@right_side_up,"Valparaíso, Chile",bus seat,7,My last day at work,☀️,0.97,-,different types of crabs and lobsters,lobsters; crabs; types; insects; organisms; seafood; biodiversity; catalog; species; creatures; bugs,0.7765; 0.7761; 0.7441; 0.2889; 0.2883; 0.2801; 0.2772; 0.2752; 0.2741; 0.2727; 0.2682,mysterious,-
image258,"Chair, Stool, and Table",-,"Nara, Japan",metro station,8,The festival weekend,☀️,0.56,-,"a chair, a stool, and a table",stool; tables; font; bar; chairs; furniture; table; chair; classifieds,0.7665; 0.2896; 0.2874; 0.2826; 0.2821; 0.2754; 0.2731; 0.2716; 0.2695,neutral,-
image259,Pair of Wooden Puppets,@shallow_waters,"Jerusalem, Israel",park bench,4,Autumn equinox,-,-,-,"a pair of puppets on a wooden table, with one puppet holding a knife and the other holding scissors",puppets; puppet; pair; table; hands; handjobs; hand; handed; handling; crafts; handmade; fingers,0.767; 0.74; 0.7204; 0.7098; 0.2776; 0.2704; 0.2623; 0.2575; 0.2574; 0.2564; 0.2561; 0.2547,serene,-
image26,Tomato Cut in Half,@center_stage,"Hallstatt, Austria",forest clearing,35,Full moon in March,☀️,0.69,-,a tomato cut in half,tomato; half; cut; globe; atlas; cells; geo; dot; circular; wound; planets,0.7385; 0.7377; 0.7308; 0.2687; 0.2685; 0.2637; 0.2632; 0.2628; 0.2625; 0.2625; 0.2624,mysterious,-
image260,Bear and Dog,@arcane_symbol,"Bariloche, Argentina",during traffic in my car,10,Autumn equinox,☀️,0.96,-,a of a bear and a dog,bear; dog; pda; throat; thumbnail; oral; kissing; sucking; licking; bite,0.7213; 0.7164; 0.2725; 0.2716; 0.2715; 0.2698; 0.2686; 0.2673; 0.267; 0.265,serene,-
image261,Quote from Book,@diamond_dust,"Valparaíso, Chile",forest clearing,35,04/07/11,-,0.87,-,"a quote from the book, can i paint like caruso",caruso; quote; paint; book; advertisement; advert; fonts; casio; advertising; caroline; categories; posters,0.7436; 0.729; 0.7195; 0.6871; 0.274; 0.2687; 0.2677; 0.2608; 0.2607; 0.2586; 0.2569; 0.2545,neutral,-
image262,List of Words and Phrases,@front_line,"Kathmandu, Nepal",-,1,21/09/99,-,0.53,-,a list of words and phrases,phrases; list; glossary; bibliography; vocabulary; terminology; dictionaries; genres; descriptions; categories,0.7477; 0.7441; 0.2914; 0.2895; 0.289; 0.284; 0.2817; 0.2801; 0.2793; 0.2787,mysterious,-
image263,Sailboat Floating in the Ocean,@surface_tension,"Safed, Israel",backstage dressing room,25,Midnight in April,🍷,0.68,-,a sailboat floating in the ocean,sailboat; ocean; floating; sailing; sail; boat; boats; boating; sea; maritime; navigation,0.767; 0.7343; 0.7272; 0.2683; 0.2666; 0.2562; 0.2529; 0.2488; 0.2483; 0.2452; 0.2443,ethereal,-
image264,Woman in Canoe on Lake,@tourmaline_rain,"Eilat, Israel",market square,21,04/07/11,🍷,0.93,-,a woman in a canoe on a lake surrounded by mountains and trees,canoe; mountains; lake; pct; tent; camping; lodge; camp; skiing; diagram; tahoe,0.7532; 0.73; 0.7152; 0.2661; 0.2629; 0.2625; 0.2599; 0.257; 0.2557; 0.2521; 0.2516,serene,-
image265,Rocket on the Ground,@gentle_breeze,"Barcelona, Spain",beach,3,-,🍝,0.74,-,a of a rocket on the ground,rocket; ground; missile,0.794; 0.7278; 0.3114,neutral,-
image266,"Pencil, Snake, and Compass",@amber_glow,"Zanzibar, Tanzania",by the fireplace,13,Night of the eclipse,-,1.0,-,"a pencil of a snake, a compass, and an arrow pointing to the direction of travel",snake; compass; direction; arrow; notes; ideas; designing; designs; concepts; bookmarks; planner,0.722; 0.7118; 0.7085; 0.6824; 0.2828; 0.2708; 0.2705; 0.2665; 0.2658; 0.2629; 0.2625,mysterious,-
image267,Letters of the Alphabet,@magenta_rose,"Jaffa, Israel",during traffic in my car,10,The day we met,☀️,0.81,-,the letters of the alphabet in different styles,alphabet; styles; fonts; letters; arabic; ascii; dad; ada; letter; pdf,0.8072; 0.7332; 0.2975; 0.2931; 0.29; 0.2864; 0.2837; 0.2833; 0.2833; 0.2777,neutral,-
image268,Dragon Hand Holding,@peridot_leaf,"Sapa, Vietnam",secluded garden,23,The festival weekend,🍷,0.99,-,a of a dragon and a hand holding a,hand; bookmarks; creatures; cards; commissions; monsters; dragon,0.7131; 0.2682; 0.2678; 0.2661; 0.2638; 0.263; 0.2625,serene,-
image269,Octopus in Swimming Pool,@red_velvet,"Samarkand, Uzbekistan",hotel balcony,28,-,☕,0.91,-,an octopus swimming in a pool of bubbles,octopus; bubbles; swimming; pool; organisms; biological; bacteria; vessel; bacterial; ink; creatures; connections,0.8007; 0.7342; 0.734; 0.7042; 0.2876; 0.2825; 0.2704; 0.2698; 0.2696; 0.269; 0.2682; 0.268,neutral,-
image27,Head with Snake,@mystical_path,"Toronto, Canada",kitchen table,11,One rainy afternoon,☀️,1.0,-,the head of a snake with its mouth open,snake; biological; head; stomach; creatures; horn; creature; fossil; mouth,0.7347; 0.2473; 0.2457; 0.243; 0.2413; 0.2408; 0.2407; 0.2394; 0.2382,mysterious,-
image270,Black and White Squares,@velvet_storm,"Caesarea, Israel",kitchen table,11,First week of college,☀️,0.53,-,black and white squares with a cat in the middle,squares; middle; poster; puzzles; quilt; abstracts; puzzle; inkjet; crossword; pieces,0.7402; 0.7142; 0.2561; 0.2556; 0.2513; 0.2503; 0.25; 0.249; 0.2482; 0.2462,neutral,-
image271,"Plants, Flowers, Birds, and Cat",@outside_in,"Acre, Israel",market square,21,Third week of lockdown,🍝,0.65,-,"plants, flowers, birds, and a cat",plants; flowers; birds; brochure; china; japan; cookbook; taiwan; catalogue; bag; catalog,0.7492; 0.7299; 0.7264; 0.2768; 0.2768; 0.2731; 0.2706; 0.2706; 0.2702; 0.2697; 0.2691,neutral,-
image272,"House, Barn, and Shed",-,"Ubud, Indonesia",during traffic in my car,10,Worst birthday I've ever had,☕,0.72,-,"a house, a barn, and a shed",house; barn; mechanisms; semiconductor; mechanics; mechanical; constraints; specification; graphs; mysql,0.7347; 0.732; 0.2706; 0.2702; 0.2676; 0.2673; 0.2666; 0.2665; 0.2653; 0.2644,serene,-
image273,Young Black Woman in Beige,@nebula_dream,"Athens, Greece",hidden alleyway,26,The week before moving out,☕,1.0,-,a young black woman wearing a beige jacket and black pants,jacket; beige; pants; eminem; fleece; wiley; editorials; marshall; coat; modelling; wang,0.7516; 0.7497; 0.748; 0.2976; 0.2733; 0.2714; 0.2614; 0.2587; 0.2546; 0.2543; 0.254,neutral,-
image274,Person Riding Skateboard,@undercurrent,"Acre, Israel",on the rooftop,37,Before the big storm,☀️,0.52,-,a person riding a skateboard,skateboard; person; skating; snowboard; surfing; runner; animation; surf; motion,0.7828; 0.7382; 0.2925; 0.2702; 0.265; 0.2624; 0.2621; 0.2619; 0.2608,neutral,-
image275,Chinese Zodiac Sign,@blue_moon,"Amsterdam, Netherlands",in bed at midnight,38,Winter of '98,🍝,0.67,-,"the chinese zodiac sign for the year of the tiger, a red and the words happy new year",year; sign; zodiac; tigers; annual; yearly; tiger; card; greeting; mardi; postcard,0.7374; 0.6951; 0.6904; 0.244; 0.2427; 0.2404; 0.2362; 0.2357; 0.2336; 0.2324; 0.2317,warm,-
image276,Black and White Poster,@nomadic_heart,"Kibbutz Ein Gedi, Israel",desert roadside,18,On my sister's wedding day,🌙,0.69,-,a black and white poster for the pharaoh sanders jazz quartet,sanders; jazz; pharaoh; quartet; flyer; advertisement; treaty; poster; advertiser; advert; apache; times,0.7127; 0.6936; 0.6777; 0.672; 0.2933; 0.2601; 0.2543; 0.2492; 0.249; 0.2479; 0.2447; 0.2424,neutral,-
image277,Man Sitting on Ground,@overhead_light,"Valparaíso, Chile",office desk corner,6,Autumn equinox,☀️,0.68,-,a man sitting on the ground with a cigarette in his mouth,mouth; ground; cigarette; smoking; smoke; lung; tobacco; cigarettes; joint,0.7382; 0.7233; 0.2835; 0.2783; 0.2757; 0.2714; 0.2683; 0.2653; 0.2629,serene,-
image278,How to Draw a Person,@depth_of_field,"Reykjavík, Iceland",hotel balcony,28,The day the power went out,☀️,0.56,-,how to draw a person,person; thumbs; outline; aaa; thumb; pants; animation; thing; outlined,0.7503; 0.2692; 0.2646; 0.2637; 0.2625; 0.2612; 0.2612; 0.26; 0.2598,neutral,-
image279,Notice: May Not Be,@black_cat,"Tel Aviv, Israel",bus seat,7,Middle of summer,☕,0.87,-,a notice and may not be used without permission of the holder,notice; permission; holder; eco; ecological; exclude; ecology; existed; erotic; flyer; encyclopedia,0.7147; 0.6896; 0.6629; 0.2982; 0.2822; 0.2806; 0.276; 0.2759; 0.2707; 0.2693; 0.2691,serene,-
image28,Spiral Made of Squares,@galaxy_whisper,"Jerusalem, Israel",in bed at midnight,38,The festival weekend,🌙,0.8,-,a spiral made up of squares,spiral; squares; debian; circular; circle; circles; node; criterion; macromedia; generated,0.7776; 0.7447; 0.2967; 0.2906; 0.285; 0.2825; 0.2755; 0.2742; 0.2725; 0.272,mysterious,-
image280,Water Lilies and Lotus Flowers,@morganite_blush,"Masada, Israel",toilet,2,Day after graduation,-,0.74,-,"water lilies, lotus flowers, and other flowers",lilies; lotus; water; stamps; catalogue; catalog; editions; sequences; pages; scanning; flowers,0.7504; 0.7408; 0.6915; 0.2692; 0.2634; 0.2584; 0.2559; 0.2559; 0.2545; 0.254; 0.2537,serene,-
image281,Egg Falling from Above,@amethyst_sky,"Haifa, Israel",in bed at midnight,38,Early morning in August,🍝,-,-,an egg falling from the top of a tall building,building; top; brochure; sphere; egg; solaris; tower; ibm; acm; telecom,0.7614; 0.7311; 0.2754; 0.2718; 0.2711; 0.2708; 0.2693; 0.2686; 0.2663; 0.2659,serene,-
image282,Woman’s Face with Insect and Handwriting,@white_rabbit,"Samarkand, Uzbekistan",school hallway,5,04/07/11,-,0.55,-,"a of a woman's face, a of an insect, and handwritten notes",face; insect; documents; notes; catalogue; correspondence; contents; scripts; menus; annotated,0.7091; 0.7044; 0.2662; 0.2623; 0.2561; 0.2525; 0.2525; 0.2521; 0.2518; 0.2503,mysterious,-
image283,Two People Standing in Front,@blue_moon,"Marrakesh, Morocco",mountain lookout,19,The day the power went out,☕,0.63,-,two people standing in front of a wall with a quote from steve jobs on it,steve; wall; front; jobs; powerpoint; developers; quoted; quotations; presentations; quote; entrepreneurs,0.7489; 0.7099; 0.6851; 0.2824; 0.272; 0.2628; 0.2573; 0.2571; 0.2544; 0.2532; 0.2531,serene,-
image284,Contents of a Written Manuscript,@overhead_light,"Luang Prabang, Laos",on the rooftop,37,First snow of 2012,🍷,0.81,-,the contents of a manuscript written in the thirteenth century,manuscript; contents; century; menus; list; lists; catalog; menu; catalogue; signatures; listing,0.791; 0.7522; 0.7113; 0.2901; 0.2865; 0.2804; 0.2787; 0.2744; 0.2728; 0.2674; 0.2672,neutral,-
image285,List of Animals,@undercurrent,"Athens, Greece",airport lounge,36,Full moon in March,🍷,1.0,-,a list of animals and their names,names; animals; menus; ballot; glossary; menu; catalogue; roster; flyer; list,0.7707; 0.7336; 0.2989; 0.2955; 0.2945; 0.29; 0.2894; 0.2888; 0.2888; 0.2817,serene,-
image286,Polar Bear and Her Cubs,@chrysoprase_meadow,"Marrakesh, Morocco",balcony at sunset,14,After the last train,🌙,-,-,a polar bear and her cubs,bear; cubs; bears,0.7896; 0.7638; 0.3088,serene,-
image287,Components of a Vehicle,@celestial_harmony,"Dead Sea, Israel",hotel balcony,28,Just before sunrise,-,0.64,-,the components of a vehicle,components; vehicle; mechanics; motor; parts; replica; mechanical; mechanism; instrument; differential,0.7622; 0.7517; 0.2744; 0.2734; 0.2734; 0.2687; 0.2674; 0.2671; 0.2665; 0.2648,mysterious,-
image288,Woman in Red Coat,@tranquil_forest,"Chefchaouen, Morocco",empty classroom,32,First week of college,🍝,0.97,-,an of a woman in a red coat,coat; postcards; postcard; frontpage; sudan; brochure; editions; fares; poster,0.7406; 0.2664; 0.2657; 0.2645; 0.2635; 0.2621; 0.2596; 0.2594; 0.2581,warm,-
image289,List of Names,@timeless_echo,"Siwa Oasis, Egypt",dockside pier,34,During the blackout,🍝,-,-,a list of the names of people who have died,names; list; roster; lists; bibliography; listings; glossary; transcription; listing,0.7601; 0.2846; 0.2826; 0.2777; 0.2769; 0.2766; 0.274; 0.2714; 0.2698,serene,-
image29,Collage of Woman and Strawberry,@imaginative_eye,"Pingyao, China",on the rooftop,37,Autumn equinox,🍷,0.85,-,a collage of a woman and strawberry,collage; strawberry; quilt; stamps; postcards; postage; stamp; tract,0.7626; 0.7401; 0.2748; 0.257; 0.2542; 0.2536; 0.2532; 0.2523,serene,-
image290,Frog Standing in Front,@peridot_leaf,"Prague, Czech Republic",metro station,8,New Year's Eve 2010,-,0.92,-,a frog standing in front of an open door,door; standing; frog; front; builder; farmer; arnold; artist; sold; cowboy; worker; painted,0.7373; 0.723; 0.7176; 0.7014; 0.2586; 0.2544; 0.2531; 0.2477; 0.246; 0.2458; 0.2446; 0.2434,mysterious,-
image291,Person in Colorful Coat,@hidden_gem,"Sapa, Vietnam",hotel balcony,28,Summer solstice,☕,0.54,-,a person in a colorful coat,person; generated; ghost; render; synthetic; coat; human,0.2781; 0.2738; 0.2711; 0.269; 0.2687; 0.2686; 0.2683,whimsical,-
image292,Different Types of Waterproof,-,"Haifa, Israel",under the old oak tree,15,First week of college,-,0.94,-,the different types of waterproof liquid eyeliner,liquid; eyeliner; types; waterproof,0.7495; 0.7382; 0.7164; 0.3015,mysterious,-
image293,Poem Written with Person,@emerald_city,"Pingyao, China",park bench,4,The day we met,🍝,-,-,a poem written by person,person; poem; excerpt; annotation; transcription; transcript; translation; respondent; indexed; translations,0.703; 0.6984; 0.2555; 0.2487; 0.2443; 0.2438; 0.2425; 0.2412; 0.2403; 0.2399,serene,-
image294,Handwritten Letter from President,@chrysoprase_meadow,"Haifa, Israel",candlelit room,24,Early morning in August,🍝,0.98,-,a handwritten letter from the president of the united states,president; states; transcription; flyer; letter; correspondence; transcript; descriptions; listing; recipes,0.7044; 0.6894; 0.2735; 0.2667; 0.2653; 0.2604; 0.2586; 0.2582; 0.2576; 0.2575,mysterious,-
image295,Japanese Kimono in Blue,@mystical_path,"Siwa Oasis, Egypt",museum hallway,33,An endless Sunday,🍝,0.55,-,a japanese kimono in blue and white,kimono; cloth; defence; uni; defend; uniform; defense; japan,0.7783; 0.2746; 0.2727; 0.2712; 0.2672; 0.2649; 0.2627; 0.261,melancholic,-
image296,Words: God Bless Love,@background_noise,"Chefchaouen, Morocco",dockside pier,34,Summer solstice,🌙,0.66,-,the words god bless love,bless; pills; stickers; buttons; love; pray; beads; prayers; sticker,0.7521; 0.2658; 0.2658; 0.2643; 0.2642; 0.2628; 0.2621; 0.2618; 0.2605,mysterious,-
image297,Building with Green Doors,@cyan_sky,"Reykjavík, Iceland",kitchen table,11,The week before moving out,☀️,0.57,-,a building with green doors and windows,building; openings; installations; doors; hostels; windows; lightbox; workshops; installation,0.7282; 0.2695; 0.2661; 0.2655; 0.2635; 0.2632; 0.2616; 0.2595; 0.2583,whimsical,-
image298,Black and White House,@esoteric_wisdom,"Bariloche, Argentina",-,1,Summer solstice,🌙,0.99,"While listening to a podcast about cults, I started making this",a black and white of a house,house; cottages,0.7596; 0.3063,neutral,"While listening to a podcast about cults, I started making this"
image299,Pencil Drawing of Young Woman,@topaz_star,"Haifa, Israel",bridge at dusk,31,Worst birthday I've ever had,☀️,0.79,-,a pencil of a young woman,portrait; study; leslie; ana; korean; asian; portraits; vietnamese,0.2865; 0.2793; 0.2712; 0.2701; 0.2696; 0.2683; 0.2666; 0.265,mysterious,-
image3,Person Standing on Escalator,@fantasy_realm,"Vancouver, Canada",market square,21,Early spring 2005,🍝,1.0,-,a person standing on an escalator,escalator; person; tag; penis; hitachi; rail; prohibited; anal; knife; lift,0.7816; 0.7494; 0.2703; 0.2694; 0.2674; 0.2671; 0.2661; 0.2643; 0.2636; 0.2632,mysterious,-
image30,Group of People Standing,@topaz_star,"Reykjavík, Iceland",office desk corner,6,On my sister's wedding day,🍝,0.9,-,a group of people standing in front of a door,group; door; front; bookmarks; circus; costumes; mime; postcards; postcard; themselves; bookmark,0.7505; 0.7129; 0.7124; 0.2761; 0.2714; 0.2668; 0.2661; 0.266; 0.2649; 0.264; 0.2613,neutral,-
image300,Building with Birds Flying Above,@orange_sunset,"Kibbutz Ein Gedi, Israel",seashore rocks,27,Early spring 2005,🍷,0.54,-,a of a building with birds flying above it,birds; apartments; building; buildings; hostels; residence; apartment; berlin; villa,0.7343; 0.2862; 0.2845; 0.2818; 0.2799; 0.2791; 0.2787; 0.2771; 0.2767,neutral,-
image301,Ink and Pencil,@ambient_sound,"Valparaíso, Chile",secluded garden,23,Day after graduation,-,0.77,-,"ink, and pencil on",ink; markers; profiles; acrylic; study; bookmarks; ana; attempts,0.7436; 0.2856; 0.2846; 0.2793; 0.2771; 0.2742; 0.2713; 0.2695,neutral,-
image302,"Charcoal, Graphite, and Ink",@right_side_up,"Chefchaouen, Morocco",rain-soaked café,16,-,🍝,0.85,-,"charcoal, graphite, and ink on",charcoal; graphite; ink; face; faced; dried; mask; darkness; facing; shadow,0.8283; 0.8183; 0.7638; 0.2854; 0.2847; 0.2793; 0.2777; 0.2776; 0.2764; 0.2763,mysterious,-
image303,Mermaid and Octopus,@sapphire_blue,"Hallstatt, Austria",office desk corner,6,During the blackout,☀️,0.53,-,a of a mermaid and an octopus,mermaid; octopus; comics; cartoons; modes; goods; mpegs; annotated,0.7183; 0.6803; 0.2577; 0.2537; 0.2513; 0.2485; 0.2481; 0.2472,serene,-
image304,Three Children and a Dog,@aquamarine_wave,"Nara, Japan",train window seat,22,Early morning in August,-,0.87,-,three children and a dog,children; dog; portraits; markers; crop; teens; study,0.74; 0.6893; 0.2528; 0.2471; 0.2468; 0.2447; 0.2443,neutral,-
image305,Cat Sleeping on Table,@infinite_loop,"Haifa, Israel",during traffic in my car,10,Winter of '98,🌙,0.64,Scribbled it during a Zoom meeting I should've paid attention to,a cat sleeping on a table next to a potted plant,plants; arrangement; indoor; plant; veterinary; apartment; nursery,0.2703; 0.2688; 0.2681; 0.2675; 0.2669; 0.2628; 0.2628,neutral,Scribbled it during a Zoom meeting I should've paid attention to
image306,Pencil Drawing of Woman,@asteroid_belt,"Valparaíso, Chile",secluded garden,23,First snow of 2012,🌙,0.92,-,a pencil of a woman,marilyn; madonna; portrait; ana; actress; joan; portraits; drawn,0.278; 0.2731; 0.2724; 0.2708; 0.2655; 0.2643; 0.2641; 0.2635,mysterious,-
image307,Field with Grass and Trees,@foreground_focus,"Fez, Morocco",candlelit room,24,My last day at work,☕,0.94,-,a field of grass and trees,grass; trees; prairie; fields; plains; landscape; field; vincent; crop; landscapes,0.7586; 0.7577; 0.2955; 0.2918; 0.2866; 0.2852; 0.2835; 0.2796; 0.2777; 0.2759,mysterious,-
image308,Intriguing Visual Composition,@hidden_gem,"Zanzibar, Tanzania",train window seat,22,Middle of summer,-,0.62,-,An intriguing visual composition with distinctive artistic elements.,visual; composition; artistic,0.5; 0.4; 0.3,mysterious,-
image309,Human Skull,@surface_tension,"Kathmandu, Nepal",airport lounge,36,04/07/11,☕,0.6,-,a of a human skull,skull; bone; bones; tooth; teeth; fossil; reconstruction; study,0.808; 0.2751; 0.2732; 0.2725; 0.2677; 0.2666; 0.2638; 0.258,neutral,-
image31,Group of People on Tile,@center_stage,"Folegandros, Greece",during traffic in my car,10,Day after graduation,☕,0.95,"Sitting in traffic, I started creating on my phone",a group of people on a tile floor,group; floor; tile; poster; frontpage; annotated; flyer; composite; annotation; brochure; newsletter,0.7227; 0.6945; 0.6869; 0.2472; 0.2423; 0.2381; 0.2366; 0.2349; 0.2346; 0.2339; 0.2322,mysterious,"Sitting in traffic, I started creating on my phone"
